,end_date,Party,Percent,Weighted,pdf
379,7/17/2018,Republican,35,0.182448093,0.099748756
380,7/14/2018,Republican,37,0.163578499,0.119104533
381,7/11/2018,Republican,40,0.089084298,0.079640764
382,7/10/2018,Republican,38,0.104716071,0.113860707
383,7/10/2018,Republican,37,0.163578499,0.119104533
384,7/10/2018,Republican,34,0.097377896,0.079860545
385,7/3/2018,Republican,38,0.106144782,0.113860707
386,7/2/2018,Republican,34,0.169339785,0.079860545
387,7/2/2018,Republican,37,0.106542875,0.119104533
388,7/1/2018,Republican,40,0.234609294,0.079640764
389,7/1/2018,Republican,41,0.082062386,0.058270853
390,6/29/2018,Republican,35,0.154039756,0.099748756
391,6/26/2018,Republican,38,0.107405409,0.113860707
392,6/26/2018,Republican,38,0.100766107,0.113860707
393,6/25/2018,Republican,36,0.115287644,0.11396535
394,6/24/2018,Republican,37,0.162760198,0.119104533
395,6/19/2018,Republican,37,0.10408797,0.119104533
396,6/19/2018,Republican,36,0.127708136,0.11396535
397,6/18/2018,Republican,39,0.086253417,0.099565662
398,6/17/2018,Republican,42,0.083692354,0.038999358
399,6/17/2018,Republican,43,0.128004494,0.023875565
400,6/13/2018,Republican,41,0.064471112,0.058270853
401,6/12/2018,Republican,37,0.107033856,0.119104533
402,6/12/2018,Republican,35,0.097919745,0.099748756
403,6/12/2018,Republican,43,0.152920673,0.023875565
404,6/10/2018,Republican,40,0.060067764,0.079640764
405,6/6/2018,Republican,39,0.08633967,0.099565662
406,6/5/2018,Republican,38,0.108581994,0.113860707
407,6/5/2018,Republican,32,0.089526624,0.039178897
408,6/4/2018,Republican,37,0.162842028,0.119104533
409,5/30/2018,Republican,42,0.29259813,0.038999358
410,5/29/2018,Republican,39,0.11031812,0.099565662
411,5/29/2018,Republican,37,0.088376578,0.119104533
412,5/29/2018,Republican,37,0.163251179,0.119104533
413,5/22/2018,Republican,37,0.110225232,0.119104533
414,5/22/2018,Republican,38,0.106144782,0.113860707
415,5/22/2018,Republican,37,0.088376578,0.119104533
416,5/19/2018,Republican,36,0.158440892,0.11396535
417,5/15/2018,Republican,37,0.100732933,0.119104533
418,5/15/2018,Republican,37,0.105560913,0.119104533
419,5/14/2018,Republican,38,0.167915498,0.113860707
420,5/8/2018,Republican,35,0.095365316,0.099748756
421,5/8/2018,Republican,38,0.098412937,0.113860707
422,5/7/2018,Republican,35,0.15419457,0.099748756
423,5/5/2018,Republican,44,0.087677704,0.013370264
424,5/1/2018,Republican,39,0.1098006,0.099565662
425,5/1/2018,Republican,37,0.10940693,0.119104533
426,5/1/2018,Republican,34,0.149713816,0.079860545
427,5/1/2018,Republican,43,0.116117004,0.023875565
428,4/30/2018,Republican,41,0.061750812,0.058270853
429,4/30/2018,Republican,38,0.139089164,0.113860707
430,4/24/2018,Republican,34,0.116477499,0.079860545
431,4/24/2018,Republican,38,0.106733074,0.113860707
432,4/24/2018,Republican,34,0.093843718,0.079860545
433,4/23/2018,Republican,35,0.154271977,0.099748756
434,4/17/2018,Republican,38,0.107069242,0.113860707
435,4/17/2018,Republican,34,0.093091765,0.079860545
436,4/13/2018,Republican,39,0.071331576,0.099565662
437,4/11/2018,Republican,43,0.082261432,0.023875565
438,4/10/2018,Republican,36,0.102867152,0.11396535
439,4/10/2018,Republican,30,0.080879166,0.013456516
440,4/7/2018,Republican,36,0.158759366,0.11396535
441,4/3/2018,Republican,36,0.099204699,0.11396535
442,4/3/2018,Republican,34,0.11422164,0.079860545
443,4/1/2018,Republican,37,0.163414839,0.119104533
444,3/27/2018,Republican,37,0.163414839,0.119104533
445,3/27/2018,Republican,35,0.102951194,0.099748756
446,3/27/2018,Republican,35,0.103493042,0.099748756
447,3/25/2018,Republican,39,0.072970391,0.099565662
448,3/25/2018,Republican,44,0.088845443,0.013370264
449,3/21/2018,Republican,39,0.087547218,0.099565662
450,3/21/2018,Republican,41,0.173555145,0.058270853
451,3/20/2018,Republican,38,0.107909659,0.113860707
452,3/20/2018,Republican,37,0.10940693,0.119104533
453,3/19/2018,Republican,38,0.167579331,0.113860707
454,3/13/2018,Republican,38,0.108497952,0.113860707
455,3/13/2018,Republican,30,0.093618132,0.013456516
456,3/12/2018,Republican,36,0.158998222,0.11396535
457,3/8/2018,Republican,40,0.088465043,0.079640764
458,3/6/2018,Republican,37,0.107197516,0.119104533
459,3/6/2018,Republican,31,0.200676315,0.024007523
460,3/5/2018,Republican,41,0.064199082,0.058270853
461,3/5/2018,Republican,37,0.162923858,0.119104533
462,2/27/2018,Republican,38,0.108918161,0.113860707
463,2/27/2018,Republican,31,0.113193234,0.024007523
464,2/26/2018,Republican,39,0.171816807,0.099565662
465,2/24/2018,Republican,32,0.070772034,0.039178897
466,2/23/2018,Republican,38,0.076393988,0.113860707
467,2/21/2018,Republican,39,0.070641548,0.099565662
468,2/20/2018,Republican,35,0.101248242,0.099748756
469,2/20/2018,Republican,30,0.073249056,0.013456516
470,2/13/2018,Republican,38,0.107573492,0.113860707
471,2/13/2018,Republican,30,0.100518405,0.013456516
472,2/12/2018,Republican,39,0.171213033,0.099565662
473,2/11/2018,Republican,41,0.062294872,0.058270853
474,2/7/2018,Republican,38,0.067821725,0.113860707
475,2/6/2018,Republican,37,0.108015818,0.119104533
476,2/6/2018,Republican,31,0.21322287,0.024007523
477,2/4/2018,Republican,38,0.166822955,0.113860707
478,2/1/2018,Republican,39,0.381585117,0.099565662
479,1/30/2018,Republican,45,0.070760976,0.006848831
480,1/30/2018,Republican,37,0.103433328,0.119104533
481,1/30/2018,Republican,31,0.204378577,0.024007523
482,1/23/2018,Republican,37,0.106461044,0.119104533
483,1/23/2018,Republican,30,0.19778572,0.013456516
484,1/21/2018,Republican,37,0.163414839,0.119104533
485,1/18/2018,Republican,39,0.072970391,0.099565662
486,1/18/2018,Republican,41,0.082787799,0.058270853
487,1/16/2018,Republican,36,0.105653801,0.11396535
488,1/16/2018,Republican,32,0.115924592,0.039178897
489,1/16/2018,Republican,38,0.167495289,0.113860707
490,1/15/2018,Republican,39,0.104797902,0.099565662
491,1/10/2018,Republican,40,0.096603827,0.079640764
492,1/9/2018,Republican,37,0.108588629,0.119104533
493,1/9/2018,Republican,31,0.170852538,0.024007523
494,1/5/2018,Republican,36,0.158520511,0.11396535
495,1/2/2018,Republican,36,0.098408514,0.11396535
496,1/2/2018,Republican,31,0.170852538,0.024007523
497,12/26/2017,Republican,36,0.098408514,0.11396535
498,12/19/2017,Republican,35,0.099932324,0.099748756
499,12/19/2017,Republican,27,0.148807049,0.001388127
500,12/18/2017,Republican,34,0.149713816,0.079860545
501,12/17/2017,Republican,38,0.075469528,0.113860707
502,12/12/2017,Republican,40,0.076256867,0.079640764
503,12/12/2017,Republican,36,0.105733419,0.11396535
